2019-03-31 21:22:50,678 : INFO : PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
2019-03-31 21:54:10,594 : INFO : EPOCH 1 - PROGRESS: at 5.31% examples, 48800 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:54:12,128 : INFO : EPOCH 1 - PROGRESS: at 5.42% examples, 49201 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:54:13,691 : INFO : EPOCH 1 - PROGRESS: at 5.42% examples, 48782 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:54:15,505 : INFO : EPOCH 1 - PROGRESS: at 5.44% examples, 48470 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:54:19,006 : INFO : EPOCH 1 - PROGRESS: at 5.53% examples, 48464 words/s, in_qsize 2, out_qsize 0
2019-03-31 21:54:20,700 : INFO : EPOCH 1 - PROGRESS: at 5.67% examples, 49115 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:54:21,799 : INFO : EPOCH 1 - PROGRESS: at 5.67% examples, 48832 words/s, in_qsize 0, out_qsize 1
2019-03-31 21:54:26,896 : INFO : EPOCH 1 - PROGRESS: at 5.70% examples, 47754 words/s, in_qsize 1, out_qsize 0
2019-03-31 21:54:29,328 : INFO : EPOCH 1 - PROGRESS: at 6.00% examples, 49394 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:54:30,968 : INFO : EPOCH 1 - PROGRESS: at 6.00% examples, 48979 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:54:33,174 : INFO : EPOCH 1 - PROGRESS: at 6.03% examples, 48631 words/s, in_qsize 1, out_qsize 0
2019-03-31 21:54:34,987 : INFO : EPOCH 1 - PROGRESS: at 6.09% examples, 48615 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:54:37,049 : INFO : EPOCH 1 - PROGRESS: at 6.16% examples, 48694 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:54:38,118 : INFO : EPOCH 1 - PROGRESS: at 6.32% examples, 49595 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:54:40,407 : INFO : EPOCH 1 - PROGRESS: at 6.40% examples, 49242 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:54:42,463 : INFO : EPOCH 1 - PROGRESS: at 6.43% examples, 48882 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:54:44,000 : INFO : EPOCH 1 - PROGRESS: at 6.56% examples, 49451 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:54:45,225 : INFO : EPOCH 1 - PROGRESS: at 6.61% examples, 49628 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:54:48,362 : INFO : EPOCH 1 - PROGRESS: at 6.61% examples, 48868 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:54:50,450 : INFO : EPOCH 1 - PROGRESS: at 6.69% examples, 49010 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:54:51,597 : INFO : EPOCH 1 - PROGRESS: at 6.70% examples, 48847 words/s, in_qsize 1, out_qsize 0
2019-03-31 21:54:53,293 : INFO : EPOCH 1 - PROGRESS: at 6.82% examples, 49363 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:54:54,403 : INFO : EPOCH 1 - PROGRESS: at 6.91% examples, 49888 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:54:55,705 : INFO : EPOCH 1 - PROGRESS: at 6.93% examples, 49650 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:54:58,515 : INFO : EPOCH 1 - PROGRESS: at 6.94% examples, 49063 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:55:00,503 : INFO : EPOCH 1 - PROGRESS: at 7.05% examples, 49372 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:55:01,621 : INFO : EPOCH 1 - PROGRESS: at 7.14% examples, 49740 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:55:02,727 : INFO : EPOCH 1 - PROGRESS: at 7.21% examples, 49983 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:55:06,269 : INFO : EPOCH 1 - PROGRESS: at 7.22% examples, 49205 words/s, in_qsize 0, out_qsize 1
2019-03-31 21:55:07,493 : INFO : EPOCH 1 - PROGRESS: at 7.25% examples, 49248 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:55:08,603 : INFO : EPOCH 1 - PROGRESS: at 7.32% examples, 49605 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:55:10,513 : INFO : EPOCH 1 - PROGRESS: at 7.36% examples, 49482 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:55:12,438 : INFO : EPOCH 1 - PROGRESS: at 7.40% examples, 49249 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:55:14,390 : INFO : EPOCH 1 - PROGRESS: at 7.49% examples, 49325 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:55:16,545 : INFO : EPOCH 1 - PROGRESS: at 7.49% examples, 48885 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:55:20,042 : INFO : EPOCH 1 - PROGRESS: at 7.59% examples, 48820 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:55:23,258 : INFO : EPOCH 1 - PROGRESS: at 7.79% examples, 49378 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:55:24,602 : INFO : EPOCH 1 - PROGRESS: at 7.85% examples, 49427 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:55:26,466 : INFO : EPOCH 1 - PROGRESS: at 7.86% examples, 49088 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:55:27,742 : INFO : EPOCH 1 - PROGRESS: at 7.97% examples, 49436 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:55:28,751 : INFO : EPOCH 1 - PROGRESS: at 8.09% examples, 49941 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:55:30,976 : INFO : EPOCH 1 - PROGRESS: at 8.10% examples, 49523 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:55:37,883 : INFO : EPOCH 1 - PROGRESS: at 8.10% examples, 48187 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:55:38,927 : INFO : EPOCH 1 - PROGRESS: at 8.11% examples, 48053 words/s, in_qsize 1, out_qsize 0
2019-03-31 21:55:40,378 : INFO : EPOCH 1 - PROGRESS: at 8.33% examples, 49483 words/s, in_qsize 1, out_qsize 0
2019-03-31 21:55:43,785 : INFO : EPOCH 1 - PROGRESS: at 8.36% examples, 49076 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:55:48,842 : INFO : EPOCH 1 - PROGRESS: at 8.42% examples, 48558 words/s, in_qsize 0, out_qsize 2
2019-03-31 21:55:53,904 : INFO : EPOCH 1 - PROGRESS: at 8.47% examples, 48092 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:55:59,733 : INFO : EPOCH 1 - PROGRESS: at 8.66% examples, 48307 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:56:01,351 : INFO : EPOCH 1 - PROGRESS: at 8.83% examples, 49050 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:56:02,477 : INFO : EPOCH 1 - PROGRESS: at 8.89% examples, 49178 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:56:03,849 : INFO : EPOCH 1 - PROGRESS: at 8.89% examples, 48961 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:56:13,178 : INFO : EPOCH 1 - PROGRESS: at 8.94% examples, 47675 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:56:15,198 : INFO : EPOCH 1 - PROGRESS: at 9.13% examples, 48388 words/s, in_qsize 1, out_qsize 0
