2019-04-02 18:36:05,547 : INFO : loading trainables recursively from models/enwiki-full-dict-99999.model.trainables.* with mmap=None
2019-04-02 18:36:05,556 : INFO : loading syn1neg from models/enwiki-full-dict-99999.model.trainables.syn1neg.npy with mmap=None
2019-04-02 18:36:06,635 : INFO : loading vocabulary recursively from models/enwiki-full-dict-99999.model.vocabulary.* with mmap=None
2019-04-02 18:36:06,642 : INFO : loading wv recursively from models/enwiki-full-dict-99999.model.wv.* with mmap=None
2019-04-02 18:36:06,649 : INFO : loading vectors from models/enwiki-full-dict-99999.model.wv.vectors.npy with mmap=None
2019-04-02 18:36:07,652 : INFO : setting ignored attribute vectors_norm to None
2019-04-02 18:36:07,654 : INFO : setting ignored attribute cum_table to None
2019-04-02 18:36:07,655 : INFO : loaded models/enwiki-full-dict-99999.model
2019-04-02 18:36:10,654 : WARNING : Effective 'alpha' higher than previous training cycles
2019-04-02 18:36:10,656 : INFO : training model with 10 workers on 1343016 vocabulary and 300 features, using sg=0 hs=0 sample=0.001 negative=5 window=5
2019-04-02 18:38:23,713 : INFO : EPOCH 1 - PROGRESS: at 9.26% examples, 42605 words/s, in_qsize 1, out_qsize 0
2019-04-02 18:38:24,757 : INFO : EPOCH 1 - PROGRESS: at 9.46% examples, 43691 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:25,807 : INFO : EPOCH 1 - PROGRESS: at 9.48% examples, 43471 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:26,902 : INFO : EPOCH 1 - PROGRESS: at 9.53% examples, 43511 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:28,727 : INFO : EPOCH 1 - PROGRESS: at 9.54% examples, 43070 words/s, in_qsize 5, out_qsize 2
2019-04-02 18:38:30,616 : INFO : EPOCH 1 - PROGRESS: at 9.77% examples, 43614 words/s, in_qsize 0, out_qsize 1
2019-04-02 18:38:31,886 : INFO : EPOCH 1 - PROGRESS: at 10.12% examples, 44159 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:33,068 : INFO : EPOCH 1 - PROGRESS: at 10.14% examples, 43918 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:34,282 : INFO : EPOCH 1 - PROGRESS: at 10.29% examples, 44035 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:35,336 : INFO : EPOCH 1 - PROGRESS: at 10.36% examples, 43945 words/s, in_qsize 0, out_qsize 1
2019-04-02 18:38:36,425 : INFO : EPOCH 1 - PROGRESS: at 10.52% examples, 44309 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:37,820 : INFO : EPOCH 1 - PROGRESS: at 10.55% examples, 44099 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:39,545 : INFO : EPOCH 1 - PROGRESS: at 10.81% examples, 44686 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:40,827 : INFO : EPOCH 1 - PROGRESS: at 10.88% examples, 44794 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:41,883 : INFO : EPOCH 1 - PROGRESS: at 10.88% examples, 44537 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:43,634 : INFO : EPOCH 1 - PROGRESS: at 10.95% examples, 44344 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:44,644 : INFO : EPOCH 1 - PROGRESS: at 11.07% examples, 44953 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:46,717 : INFO : EPOCH 1 - PROGRESS: at 11.13% examples, 44679 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:47,719 : INFO : EPOCH 1 - PROGRESS: at 11.18% examples, 44698 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:49,529 : INFO : EPOCH 1 - PROGRESS: at 11.41% examples, 45249 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:50,582 : INFO : EPOCH 1 - PROGRESS: at 11.47% examples, 45278 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:52,223 : INFO : EPOCH 1 - PROGRESS: at 11.49% examples, 44949 words/s, in_qsize 1, out_qsize 0
2019-04-02 18:38:53,238 : INFO : EPOCH 1 - PROGRESS: at 11.62% examples, 45416 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:55,903 : INFO : EPOCH 1 - PROGRESS: at 11.69% examples, 44993 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:00,529 : INFO : EPOCH 1 - PROGRESS: at 11.71% examples, 43911 words/s, in_qsize 1, out_qsize 0
2019-04-02 18:39:02,024 : INFO : EPOCH 1 - PROGRESS: at 11.92% examples, 44490 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:04,208 : INFO : EPOCH 1 - PROGRESS: at 11.94% examples, 44007 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:06,434 : INFO : EPOCH 1 - PROGRESS: at 12.12% examples, 44264 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:07,546 : INFO : EPOCH 1 - PROGRESS: at 12.16% examples, 44272 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:08,895 : INFO : EPOCH 1 - PROGRESS: at 12.20% examples, 44124 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:11,020 : INFO : EPOCH 1 - PROGRESS: at 12.28% examples, 43977 words/s, in_qsize 3, out_qsize 0
2019-04-02 18:39:12,274 : INFO : EPOCH 1 - PROGRESS: at 12.44% examples, 44304 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:13,556 : INFO : EPOCH 1 - PROGRESS: at 12.45% examples, 44044 words/s, in_qsize 1, out_qsize 0
2019-04-02 18:39:14,925 : INFO : EPOCH 1 - PROGRESS: at 12.55% examples, 44132 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:16,171 : INFO : EPOCH 1 - PROGRESS: at 12.71% examples, 44528 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:17,526 : INFO : EPOCH 1 - PROGRESS: at 12.72% examples, 44248 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:20,880 : INFO : EPOCH 1 - PROGRESS: at 12.93% examples, 44201 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:22,027 : INFO : EPOCH 1 - PROGRESS: at 12.94% examples, 44034 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:23,261 : INFO : EPOCH 1 - PROGRESS: at 12.96% examples, 43840 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:24,926 : INFO : EPOCH 1 - PROGRESS: at 13.20% examples, 44313 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:26,072 : INFO : EPOCH 1 - PROGRESS: at 13.22% examples, 44140 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:27,361 : INFO : EPOCH 1 - PROGRESS: at 13.27% examples, 44065 words/s, in_qsize 3, out_qsize 0
2019-04-02 18:39:28,520 : INFO : EPOCH 1 - PROGRESS: at 13.44% examples, 44428 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:30,419 : INFO : EPOCH 1 - PROGRESS: at 13.51% examples, 44280 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:31,755 : INFO : EPOCH 1 - PROGRESS: at 13.52% examples, 44060 words/s, in_qsize 5, out_qsize 0
2019-04-02 18:39:32,808 : INFO : EPOCH 1 - PROGRESS: at 13.68% examples, 44545 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:34,206 : INFO : EPOCH 1 - PROGRESS: at 13.72% examples, 44367 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:35,363 : INFO : EPOCH 1 - PROGRESS: at 13.74% examples, 44156 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:37,526 : INFO : EPOCH 1 - PROGRESS: at 13.79% examples, 43960 words/s, in_qsize 0, out_qsize 0
